STA_NUM,Prct_finish_uni,Prct_finish_school,Apt_Value
848,,,
2513,,,
2514,,,
1625,,67,
1337,,66.7,
2511,,58.3,
1624,,48.6,
2512,,33.3,
1322,24,,31868
1321,31,,29439
852,22.4,,28993
1314,23.3,78.3,28798
1313,28.5,64.3,28526
862,26.5,,28241
1216,26.4,69.4,28180
863,36.6,76.9,28144
846,27,,27936
1312,33,81.5,27584
512,0.7,0,27550
855,24.4,,27017
1012,36.4,85.1,26618
1334,23.9,78.1,26268
1311,29.5,85.7,25531
521,2.7,2,25308
864,37,62.5,24706
1333,21.1,84,24586
853,14.2,9.1,23986
841,12.1,9.1,23985
1223,33.5,82.6,23946
915,3.2,4.5,23938
824,1.5,2.2,23929
861,16.8,,23574
922,12.1,18.2,23213
851,10.4,0,23137
515,2.4,3,23075
847,29.5,,22995
914,3.2,3.6,22838
1222,35.4,76.2,22824
1034,7.2,4.6,22611
835,1.3,0,22534
832,3.7,10.4,22428
513,0.5,2,22396
857,26.6,28.6,22278
532,2.1,6.1,22237
1335,17.7,78.6,22223
843,18.6,,22222
825,1,0,21967
1341,26.2,73.7,21951
1015,22.7,67.3,21884
842,6.9,14.3,21868
858,13.2,72.7,21848
1343,23.4,71.4,21834
1346,23.1,61.9,21820
834,2.9,5.5,21802
1044,17.9,62.5,21781
522,8.9,25,21720
1014,34,88.6,21372
1123,24.2,67.9,21308
826,1.1,2.9,21096
1342,24.8,83.8,21000
1032,15.8,17.9,20943
854,22.2,50,20884
833,4.1,7.4,20857
1345,15.4,,20819
1221,33.1,51.1,20716
856,25.6,,20673
1336,22,83.3,20537
531,6.1,11.5,20416
912,0.8,0,20408
1124,24.2,81,20379
1013,38.3,77.6,20342
1147,21.7,63.1,20329
1215,16.1,65,20202
1214,14.4,40,20156
523,12.8,41.7,20124
1031,10.8,26.9,20002
514,1.4,3.8,19993
923,14.5,31.1,19962
913,2.3,5.3,19940
1217,27.1,61.5,19926
911,1.7,0.9,19807
1016,18.4,54.2,19765
1022,40.1,76.9,19755
1011,33.2,92.1,19716
423,4.1,10.3,19683
533,2.3,6.7,19650
1035,8.2,2.4,19507
836,3,0,19462
812,5,8.2,19455
921,7,19.2,19430
1144,32.6,75.7,19418
1142,12.9,63.2,19134
925,28.9,,19121
1041,30.5,63.6,19115
1043,25.1,72.3,18948
823,1,5.4,18928
432,6.3,6.2,18791
435,24.3,65,18781
422,14.1,65,18701
433,17.1,82.6,18548
822,1.7,5.1,18422
821,0.8,1.4,18397
1042,35.5,78.9,18229
1121,15.4,,18047
932,7.1,14.2,18029
1131,22.2,47.1,17957
933,6.9,12,17945
421,15.3,53.3,17591
434,14.6,51.4,17508
1133,16.4,60,17458
431,17.9,47.7,17458
426,3.3,1.8,17454
934,9.9,12.7,17380
1141,11.3,56.5,17258
424,6.5,6.7,17029
1212,8.5,40.7,16977
412,2.1,1.8,16794
411,3.9,8.3,16636
1621,6.3,,16547
1134,18.3,50,16535
1115,21.9,57.1,16368
114,6,30,16348
1344,12.3,52.1,16328
541,29.2,87.9,16271
1122,15,51.9,16246
1211,6.6,51.4,15986
413,4.6,11,15897
1634,17.4,62.5,15876
931,8.6,21.8,15872
1132,12.2,38.1,15750
1351,20,81.3,15748
1622,21.8,74.6,15741
133,17.5,61.9,15551
1631,11.2,48,15367
121,14.1,52.3,15096
1352,12.8,45.5,14977
113,6.3,30.8,14869
1354,12.8,61.9,14794
1623,19.8,75,14639
116,8.3,42.5,14598
1643,18.7,61.4,14594
1143,10.5,58.5,14586
542,28.5,66.7,14466
425,2.2,0.7,14466
1632,14.6,51.2,14464
1355,17.1,65.4,14423
115,5.8,31.8,14398
1642,14.1,74.2,14368
123,15.4,64.3,14155
1353,10.2,50,14024
1644,22.3,67.4,13907
136,17.1,78.3,13877
131,21.5,82.1,13823
1633,12.4,56.6,13820
122,13,66.7,13795
111,2.5,3.3,13598
1641,11,47.4,13515
112,4,2.1,13305
135,16.5,66.3,13287
132,18.3,63.6,13270
2212,,,12873
124,15.4,58.8,12873
125,16.1,53.7,12873
2412,,,12434
134,16.4,70.5,12036
543,11,,11992
1213,11.7,40,11580
2611,,,11464
2612,,,11424
2411,,,10967
2311,,,10738
2211,,,10712
2911,,,10666
2111,,,10608
2312,,,10596
2812,,,10435
2811,,,10375
2613,,,10295
2213,,,10275
2711,,,10249
2112,,,8628
